Country,Internet Speed (Mbps)
Singapore,345.33
United Arab Emirates,313.55
Hong Kong (SAR),312.48
Iceland,295.55
France,290.75
United States,279.93
Chile,279.53
Denmark,254.75
Spain,247.94
Switzerland,245.39
China,244.67
Thailand,238.41
Canada,237.86
Romania,237.61
Macau (SAR),232.74
Israel,229.65
Taiwan,226.37
Japan,217.11
Hungary,215.30
Portugal,207.95
Netherlands,202.75
Peru,200.79
South Korea,199.34
Kuwait,193.53
Qatar,192.83
Liechtenstein,188.07
Brazil,188.06
Poland,183.02
Sweden,178.91
Luxembourg,178.40
New Zealand,175.54
Panama,168.44
Jordan,168.38
Colombia,166.19
Vietnam,164.77
Malta,163.28
Uruguay,154.17
Norway,153.33
Ireland,148.37
Moldova,147.90
Finland,146.60
United Kingdom,135.66
Malaysia,135.64
Trinidad and Tobago,124.50
Saudi Arabia,121.87
Costa Rica,119.19
Belgium,116.69
Ecuador,110.44
Austria,100.45
Barbados,97.36
Cyprus,97.22
Slovenia,97.18
San Marino,96.82
Montenegro,96.78
Germany,96.33
Latvia,96.09
Paraguay,95.79
Philippines,94.40
Argentina,93.38
Croatia,93.30
Guyana,93.28
Dominica,92.73
Italy,92.61
Estonia,92.42
Slovakia,92.27
Serbia,90.89
Russia,90.40
Bahrain,88.85
Bulgaria,87.40
Jamaica,85.11
Oman,84.66
Egypt,84.52
Ukraine,84.48
Mexico,83.97
Venezuela,83.91
Nicaragua,83.13
Kosovo,82.67
Uzbekistan,81.78
Albania,81.41
El Salvador,80.64
Australia,80.49
Czechia,80.16
Kazakhstan,80.03
Brunei,77.95
Belarus,77.78
Kyrgyzstan,75.97
Mongolia,75.95
Nepal,74.66
The Bahamas,69.93
Azerbaijan,69.32
Honduras,67.29
Palestine,67.24
Greece,65.51
Guatemala,64.11
India,61.66
Armenia,60.72
Côte d'Ivoire,59.93
Bangladesh,53.12
Mauritius,51.96
Ghana,51.24
Türkiye,50.71
South Africa,48.49
Burkina Faso,48.05
North Macedonia,48.00
Belize,47.75
Cambodia,47.51
Bolivia,47.50
Dominican Republic,45.35
Haiti,45.19
Gabon,42.84
Georgia,41.71
Rwanda,41.30
Antigua and Barbuda,39.39
Laos,38.89
DR Congo,38.45
Morocco,36.37
Togo,34.13
Tajikistan,33.77
Bosnia and Herzegovina,33.59
Iraq,33.16
Indonesia,32.38
Madagascar,29.19
Myanmar (Burma),26.66
Zimbabwe,26.48
Nigeria,26.08
Uganda,25.96
Sri Lanka,24.97
Senegal,24.01
Angola,22.91
Zambia,22.24
Benin,21.26
Mali,21.23
Cape Verde,19.83
Mauritania,19.46
Suriname,19.19
Maldives,18.54
Tanzania,18.45
Somalia,17.82
Mozambique,17.68
Iran,16.68
Algeria,16.54
Pakistan,15.86
Botswana,15.60
Kenya,14.93
Lebanon,14.73
Namibia,13.60
Tunisia,12.80
Yemen,11.21
Libya,10.19
Ethiopia,9.82
Cameroon,8.92
Afghanistan,3.88
Turkmenistan,3.78
Cuba,3.23
Syria,3.23
