,average_monthly_cost_$,average_yearly_temperature,internet_speed_mbps,safety_index,Healthcare Index
Afghanistan,960.5449999999998,18.1,3.88,24.9,24.24
Albania,518.9164285714286,22.2,81.41,55.3,48.21
Algeria,356.0455,22.8,16.54,47.4,54.43
Angola,740.635,27.1,22.91,33.7,36.58
Argentina,503.73125,15.1,93.38,36.6,68.0
Armenia,1347.52,18.4,60.72,77.9,58.07
Australia,1870.925,12.4,80.49,52.7,73.35
Austria,1517.2375,14.6,100.45,70.5,77.83
Azerbaijan,410.8633333333334,19.0,69.32,68.2,48.31
Bahrain,1504.4450000000002,29.7,88.85,75.5,66.6
Bangladesh,265.08625,29.9,53.12,38.4,42.2
Barbados,1182.33,27.6,97.36,55.1,71.88
Belarus,545.1325,12.1,77.78,50.2,48.5
Belgium,1420.446428571429,13.0,116.69,50.6,75.76
Belize,736.4425,23.0,47.75,47.3,47.37
Bolivia,600.57125,18.0,47.5,35.0,45.98
Botswana,633.945,27.3,15.6,47.3,61.12
Brazil,567.8301960784314,25.8,188.06,35.5,59.21
Brunei,1057.45,28.1,77.95,70.7,75.37
Bulgaria,577.4528125,17.8,87.4,63.9,58.15
Cambodia,773.6125000000001,30.5,47.51,48.7,50.71
Cameroon,483.095,26.1,8.92,34.5,45.53
Canada,1757.8511875,6.0,237.86,54.3,68.82
Chile,782.9659090909091,11.0,279.53,39.5,63.52
China,667.4233750000001,15.6,244.67,76.0,68.53
Colombia,412.5582352941177,13.5,166.19,39.1,68.44
Costa Rica,789.4725,18.7,119.19,45.9,64.29
Croatia,835.6169230769231,16.4,93.3,74.5,64.66
Cuba,996.235,23.7,3.23,65.6,59.3
Cyprus,1336.57,26.0,97.22,66.9,57.13
Denmark,1684.9137500000002,12.0,254.75,74.0,78.5
Dominican Republic,823.6816666666667,24.7,45.35,39.5,58.26
Ecuador,671.301,10.8,110.44,37.5,75.39
Egypt,267.58625,27.8,84.52,52.7,47.32
Estonia,809.7568749999999,10.9,92.42,76.3,75.93
Ethiopia,1016.96,21.0,9.82,49.3,53.46
Finland,1276.3040909090907,10.6,146.6,73.2,77.57
France,1319.2734615384616,14.1,290.75,44.6,77.78
Georgia,1011.415,18.3,41.71,73.7,56.34
Germany,1371.1502439024391,13.9,96.33,60.6,71.97
Ghana,529.2175,28.7,51.24,54.6,57.38
Greece,949.047142857143,23.5,65.51,53.6,58.2
Guatemala,719.6233333333333,17.1,64.11,42.3,67.33
Guyana,748.245,25.2,93.28,33.7,37.65
Honduras,702.6816666666667,18.7,67.29,28.0,37.83
Hungary,644.7327083333333,16.1,215.3,66.3,54.07
Iceland,1910.4266666666665,5.8,295.55,74.3,67.63
India,279.6502272727273,30.2,61.66,55.7,65.43
Indonesia,457.0665625,27.0,32.38,54.0,60.84
Iran,1553.201923076923,19.2,16.68,49.5,52.62
Iraq,621.224375,30.8,33.16,56.9,45.9
Ireland,1983.3175,11.6,148.37,52.4,51.38
Israel,1813.793,24.0,229.65,68.2,73.34
Italy,1183.7369680851064,21.0,92.61,53.1,65.13
Jamaica,763.2625,27.3,85.11,32.6,51.52
Japan,1205.4,18.7,217.11,77.1,79.81
Jordan,617.6899999999999,23.4,168.38,60.0,65.23
Kazakhstan,473.1174999999999,7.2,80.03,54.8,60.65
Kenya,435.08600000000007,23.8,14.93,44.0,61.54
Kuwait,1358.53,31.7,193.53,67.2,57.93
Latvia,865.1291666666666,12.2,96.09,62.9,62.4
Lebanon,1248.77,23.9,14.73,53.2,63.69
Libya,352.75333333333333,27.0,10.19,43.6,45.45
Luxembourg,2328.59,11.6,178.4,65.8,75.24
Malaysia,564.72,28.6,135.64,51.1,70.37
Maldives,1405.65,27.9,18.54,45.9,45.94
Malta,1376.9399999999998,23.4,163.28,57.0,52.12
Mauritius,520.5799999999999,26.4,51.96,50.0,65.18
Mexico,720.9504081632653,13.9,83.97,46.6,72.39
Mongolia,420.215,1.2,75.95,47.9,51.63
Montenegro,800.95875,20.6,96.78,64.6,41.05
Morocco,474.76375,21.0,36.37,52.2,46.87
Mozambique,1580.3300000000002,27.7,17.68,39.9,41.15
Namibia,765.515,26.3,13.6,36.5,65.07
Nepal,277.13874999999996,21.5,74.66,63.3,57.7
Netherlands,1826.7151612903224,13.1,202.75,73.1,79.47
New Zealand,1472.5493333333332,13.2,175.54,51.8,68.61
Nicaragua,555.03,24.2,83.13,49.2,61.57
Nigeria,1229.408,29.8,26.08,33.4,48.17
Norway,1770.698,7.7,153.33,67.0,75.65
Oman,1100.21,30.8,84.66,81.7,65.11
Pakistan,227.355,28.0,15.86,56.3,59.38
Panama,961.135,25.6,168.44,57.3,60.66
Paraguay,614.9699999999999,21.9,95.79,40.2,64.52
Peru,590.495,17.7,200.79,32.9,56.28
Philippines,622.0938095238095,29.1,94.4,56.9,67.2
Poland,853.6701428571428,14.0,183.02,71.0,57.92
Portugal,1074.16640625,18.6,207.95,67.9,72.42
Qatar,1988.76,32.1,192.83,84.2,73.45
Romania,601.5911666666667,18.0,237.61,67.7,56.51
Rwanda,677.4250000000001,26.3,41.3,73.1,72.87
Saudi Arabia,901.7116666666668,32.1,121.87,76.1,61.71
Serbia,555.6665789473684,17.6,90.89,62.8,51.96
Singapore,3434.5750000000003,28.8,345.33,77.4,71.9
Slovakia,887.8055,15.0,92.27,69.0,58.6
Slovenia,984.7454166666666,14.8,97.18,76.2,66.26
Somalia,605.18,28.8,17.82,36.1,40.49
South Africa,807.2349999999999,24.1,48.49,25.3,63.83
South Korea,904.8475,14.2,199.34,75.1,82.78
Spain,1142.1048181818182,18.2,247.94,63.4,77.26
Sri Lanka,244.798,29.5,24.97,57.9,71.36
Sweden,1244.9235416666668,11.3,178.91,52.0,68.43
Switzerland,2593.175,13.0,245.39,73.5,71.5
Syria,424.8675,24.7,3.23,31.9,37.11
Thailand,602.2233333333334,29.9,238.41,62.7,77.36
Tunisia,283.08892857142854,24.4,12.8,54.9,57.17
Uganda,473.2325000000001,27.0,25.96,45.9,50.05
Ukraine,437.6436206896552,14.5,84.48,53.0,55.74
United Arab Emirates,2851.18,31.8,313.55,84.5,70.63
USA,2307.896906354515,8.1,279.93,50.8,67.86
Uruguay,909.28875,14.9,154.17,48.0,68.57
Uzbekistan,418.35,20.9,81.78,72.1,61.82
Venezuela,573.7760000000001,23.0,83.91,19.3,38.69
Vietnam,539.5516666666666,25.2,164.77,59.2,61.32
Zambia,688.5800000000002,26.9,22.24,54.4,54.44
Zimbabwe,671.9625000000001,25.8,26.48,39.3,44.8
